"","yr","seas","gender","growpattern","birthseas","fleet","age0","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","age12","age13","age14","age15","age16","age17","age18","age19","age20","age21","age22","age23","age24","age25"
"2",2,1,1,1,1,1,0.0311902,0.265753644764597,1.19295036007915,2.72382877139866,4.68635237275371,6.87509156386839,9.12874443509787,11.3222347517761,13.4304738166668,15.2403700080294,16.6771486772065,18.0614028787881,19.3368003732231,20.3774831071079,21.6239520868634,21.6289469347075,22.7594968347326,23.142389279966,23.1290466399502,23.7674539103207,24.3977210339355,24.5895393423349,24.6916905822004,23.88114713851,24.947674552128,25.1739107857676
"5",5,1,1,1,1,1,0.0311902,0.238292376006568,1.19086198486733,2.7129053926637,4.6784749437483,6.92133145982351,9.15530451757397,11.2948209628473,13.3618607115633,15.3364345972318,16.910669235847,18.1021950623029,19.3150900255665,20.3938519240712,21.4026840789116,22.1759624935581,22.9047702592687,23.381869516187,23.6737486008587,23.9153616386628,23.933469584495,23.7453011043797,24.9557772205179,24.7915767526814,24.6273762848449,24.4631758170084
"8",8,1,1,1,1,1,0.0311902,0.269996484453891,1.18546330529919,2.73611324971714,4.72502794162384,6.92685050882985,9.19087220403757,11.2965514323764,13.3499648110309,15.1205360234622,16.9609354328335,18.4118093389519,19.334992361386,20.5104852849832,21.2530878998489,22.2591632156747,22.5931994240752,23.4238804716334,23.6733135028728,24.8752931731404,24.607078334953,24.7037766914262,24.6957346203219,24.9994453760713,25.3031561318207,25.6068668875702
"11",11,1,1,1,1,1,0.0311902,0.270622819435413,1.18316429467601,2.73806076727951,4.64000883700692,6.92014162301094,9.11721386850083,11.4818538213116,13.3020778963554,15.2234842486152,16.7391642406875,18.3309625967764,19.4797544172933,20.2902393924794,21.1335647225336,22.1104863991133,22.2814704867146,23.3114468968195,23.5976673567218,23.7836054456149,23.7799683818653,23.7763313181157,24.8720463398609,25.0151234659998,24.9825777874381,25.3932494807038
"14",14,1,1,1,1,1,0.0311902,0.273613969201441,1.19166473223997,2.7237307356755,4.69633480415403,6.90786955416716,9.09774713990251,11.4598020370631,13.3281748888545,15.2149160196565,16.4745105407547,18.2806939206714,19.6612390327645,20.3146892854802,21.2468540393138,22.6900288991348,22.7061127430954,23.373197517913,23.2923275327297,24.6465974281087,24.3049057868552,24.7300116029431,24.4215299646251,25.7771224042454,25.2942084030675,24.8112944018897
"17",17,1,1,1,1,1,0.0311902,0.2682205991522,1.17778662292874,2.70741578135277,4.70199051746471,6.85698584805848,9.20137680432165,11.2878827500863,13.3937826951211,15.1477425507141,16.9038959743475,18.368980864927,19.702550222779,20.4720034100526,21.2275396028897,21.9258262241546,22.495650852547,22.9142912903467,23.637114122417,23.9322055781412,23.8561071090281,24.277436621285,24.3477798692757,24.9457457246133,25.1440411600562,25.3145469709721
"20",20,1,1,1,1,1,0.0311902,0.272691993352324,1.18280765185849,2.73348291345349,4.67362771635208,6.92055320622642,9.16420905942699,11.3423462833651,13.2838645629916,15.202363778741,16.8348584661817,18.2880069211434,19.3666494218222,20.3692435839593,21.233997663878,22.2608917973856,23.1372005332721,23.0762505369893,23.6556797812575,23.738367259325,24.0453652283298,24.3523631973347,24.5887142718801,24.8250653464254,24.9780557857646,25.7185428861035
"23",23,1,1,1,1,1,0.0311902,0.269100769869735,1.18574681869151,2.74365323497709,4.68142684077812,6.91192290167224,9.09614274297538,11.2739317667162,13.4188877458717,15.1382758982481,16.706332464268,17.9332668644256,19.6356543553872,20.5274752237761,21.4040871285858,22.2392489977002,22.2665024807954,23.2694487819364,23.6970721132142,23.1815585141317,24.7953075052156,24.5519282744829,25.8304420062353,25.9416847635877,26.0529275209401,25.0163683027149
"26",26,1,1,1,1,1,0.0311902,0.273605145548223,1.19361709841801,2.73721456635725,4.68470542382909,6.90052625864641,9.19886142054906,11.3745814841635,13.3156307583544,14.9589567904895,16.8424305934526,18.1100305204188,20.1697974897215,20.9212419206687,20.191325981039,22.3408364807928,23.000408942979,23.1933594817109,23.3863100204427,23.5792605591746,25.0007102045058,25.1686093209354,25.336508437365,25.5044075537946,25.6723066702242,25.0874953345573
"29",29,1,1,1,1,1,0.0311902,0.274036484655653,1.1858342105125,2.72230093741666,4.70326652957294,6.9155442585929,9.08910618093092,11.2891027649319,13.243121924357,15.5104871364853,16.9728235699597,17.9562414379694,19.3240119651411,20.3243152319543,21.4368795695823,22.0862766154003,22.928502868751,23.2833969656337,23.9848671669654,23.7125698557785,24.6941698352643,23.3545977177184,24.0251979088012,24.6957980998841,25.366398290967,26.0369984820498
"32",32,1,1,1,1,1,0.0311902,0.26071342977579,1.18612327801005,2.73442918887553,4.69733120654191,6.87521440817596,9.0807348935722,11.2273663166205,13.3890155168486,15.2548403387031,17.025381374342,18.4425927123651,18.848319649079,20.6228207076271,21.7413689686234,21.8396146359096,22.7625001030253,23.3357820301567,23.5550861285999,24.3940252783126,23.5758365500178,24.4516892702514,25.1757256079286,25.037623372439,24.8995211369494,24.7614189014598
"35",35,1,1,1,1,1,0.0311902,0.268994777476345,1.18993026756851,2.72625704493651,4.68821093742295,6.92399510918072,9.11838148668278,11.3545342919076,13.3353282146019,15.3474416696347,17.0542269783017,18.2867520478077,19.2199977882908,20.1240399188512,21.6203829360261,22.3538855807518,22.7903013235986,23.2279297199221,23.4330364968801,23.6381432738381,24.3388281282118,24.3791624074537,24.7929598007602,25.2067571940668,25.6205545873733,24.7929103395645
"38",38,1,1,1,1,1,0.0311902,0.261750355030615,1.18734513362307,2.71944224608469,4.68205107141617,6.91534640326313,9.13090812464893,11.1870070872211,13.604799046966,15.083086887971,16.9937182610358,18.1278323161889,19.1712429673353,20.6470972213243,21.3036827615758,22.114862003485,23.0818826828702,22.7627416073697,23.3460265076616,23.6415895566177,23.9371526055738,24.2327156545298,24.5282787034859,24.823841752442,25.119404801398,24.7576417560604
"41",41,1,1,1,1,1,0.0311902,0.27185893602792,1.18704497778799,2.71770133788546,4.6775655720266,6.90880918437828,9.13166548747921,11.378776740691,13.3800219595689,15.1398066240249,16.7214438272868,18.4337355624936,19.4957731535949,20.494473996526,21.6121705776597,22.1943354147415,22.7765002518232,23.2312384094456,23.9823547142028,23.4507559461138,23.7056382467656,23.9605205474174,24.2154028480693,25.5736302165964,25.5736302165964,25.5736302165964
"44",44,1,1,1,1,1,0.0311902,0.269568244342723,1.18480332260787,2.72117065868174,4.7061355722082,6.89974090384825,9.12553288875846,11.3531863868189,13.3294073771441,14.8790891319292,16.7685866341767,18.4833478869241,19.6040621634501,20.2029847679769,21.3219505270182,22.0582388475041,22.79452716799,23.2462027437686,23.9500827777026,23.2695110027357,24.5422087714874,24.9242648269543,25.3063208824211,24.988665146429,24.6710094104368,24.3533536744447
"47",47,1,1,1,1,1,0.0311902,0.267231771527527,1.18105482294775,2.71673908707329,4.71883541728137,6.92994138910996,9.1591728642877,11.1929519095216,13.4630311096158,15.2263265876249,16.8101828260366,18.3406311829489,19.3631947879717,20.6616190886384,21.5315994936383,22.0961724216727,22.2266945293053,23.4760709468592,23.7319230103914,23.9877750739236,24.2436271374558,24.2802772641889,24.3343212577954,26.5203446374762,26.5203446374762,26.5203446374762
"50",50,1,1,1,1,1,0.0311902,0.270009762614975,1.18930625884749,2.72436206904775,4.72480873762428,6.85104544901926,9.17011211615687,11.3689425245181,13.5680517538453,15.1662445170567,16.6865034731279,17.9497148710321,19.6188555564904,20.7534684201577,21.2809343626201,22.0944806711743,22.612416474963,23.1303522787516,23.9739528571019,24.1516956953317,24.6695002602904,25.187304825249,24.6566355615601,24.1259662978711,24.1259662978711,24.1259662978711
"53",53,1,1,1,1,1,0.0311902,0.269960163417961,1.18952560250682,2.71238441587325,4.67216478687236,6.95628102037596,9.18882457377292,11.3777517040107,13.3630283845535,15.0735985678774,16.9144329206117,18.3544103735445,19.8893378800016,20.7676554996282,21.2944745498095,21.6013149250867,21.7174112231074,22.3527378460333,23.4541416887564,24.3992154312972,24.4773065921369,24.5553977529766,25.6815545835324,26.0359694104727,26.390384237413,26.7447990643534
"56",56,1,1,1,1,1,0.0311902,0.270714144664605,1.20287024754896,2.73054676656183,4.71986854754237,6.88969700720547,9.1356099795344,11.2947440236523,13.4413490491037,15.1093409198787,16.9670481099126,18.3619531845599,19.4350690304845,20.420366360344,21.2470645682274,21.9058645859677,22.4741642741286,22.9057778018882,23.7428957269281,24.3250390286678,24.9071823304076,25.4893256321473,25.3803142134471,25.3634609848402,25.3466077562333,24.4648420891884
"59",59,1,1,1,1,1,0.0311902,0.249384480658706,1.19043489322136,2.72146888816743,4.70922819927401,6.91618190523005,9.15510070882793,11.3364505266399,13.394746224748,15.1692952887989,16.7919614860393,18.3923833800048,19.4691536092053,20.5034401575516,21.3823837575119,21.9497701536958,22.5171565498797,23.7593471929602,24.3817129188401,25.00407864472,25.6264443705999,25.1390678105591,24.2742556442831,24.8668202936979,24.0496403247492,25.2268783582938
"62",62,1,1,1,1,1,0.0311902,0.274801370404652,1.17528304749156,2.73291796043524,4.70523708360024,6.88519178511445,9.04572515379899,11.2716132725665,13.5199229595826,15.1739827247021,16.8485225419982,18.2389232878219,19.5915238542517,20.4145240904326,21.004771722556,22.2651938801682,23.2021067577876,24.3190247434956,24.5391006842271,24.7591766249586,24.9792525656901,25.1993285064215,25.419404447153,25.6394803878845,25.859556328616,26.0796322693474
"65",65,1,1,1,1,1,0.0311902,0.269240319256824,1.18441694486418,2.73211206071112,4.679322199968,6.85741517288629,9.142692581618,11.3973682094416,13.2650060811791,15.0679160527487,16.7951433920198,18.2265808620718,19.1655457307196,20.5306230135358,21.6478139366331,22.1695678797844,23.1728518889477,23.2249973507761,24.3219763013075,24.0055510593514,23.6912245638225,23.6912245638225,23.6912245638225,23.6912245638225,23.6912245638225,23.6912245638225
"68",68,1,1,1,1,1,0.0311902,0.271407128474534,1.19153167309048,2.73360070991265,4.68477711144406,6.83708524204212,9.20848593301156,11.2660548225273,13.3138844971958,15.1747903411483,16.7007252132615,18.2570762184267,18.9095763452239,20.7157978815037,21.345761426228,22.1399337196495,22.1055969368933,23.0177849269184,23.3786285826749,23.7394722384315,24.100315894188,24.100315894188,24.100315894188,24.100315894188,24.100315894188,24.100315894188
"71",71,1,1,1,1,1,0.0311902,0.26383240771412,1.19510719014083,2.71325151180752,4.70325113273171,6.9145637307396,9.15167556364918,11.366840639064,13.4308528822533,15.2757848396928,16.9516989609979,18.2998008940722,19.3712692271922,20.5713197520782,21.0937763323077,22.6971972063875,23.1948008311111,23.3665509608497,23.5383010905883,23.7100512203269,23.8818013500656,25.2958003035217,25.0361125282501,24.7764247529785,24.5167369777069,25.4604118512477
"74",74,1,1,1,1,1,0.0311902,0.268960938802106,1.19018869513497,2.71854283656847,4.70454585827816,6.84097588392286,9.13707315432037,11.3244510408564,13.2888161879047,15.2682722240477,16.8751371514846,17.8188498909167,19.4398625859972,20.6952654303698,21.4128985819824,22.130531733595,22.3299546534323,22.9062741593862,23.48259366534,24.0589131712938,25.642927656932,25.642927656932,25.642927656932,25.642927656932,25.642927656932,25.642927656932
"77",77,1,1,1,1,1,0.0311902,0.27365467406146,1.1908719498198,2.72060236837239,4.68417712545928,6.85055497559993,9.17819204591602,11.4027684222309,13.3005304984615,15.1735431489066,16.8044663225563,18.266448123676,19.0503921822978,20.3798551335112,21.1744760158684,22.0064876341778,22.8384992524872,23.3915196567608,23.1983882065575,23.8443307021058,24.4902731976542,24.6023276898634,24.7143821820727,24.8264366742819,24.8264366742819,24.8264366742819
"80",80,1,1,1,1,1,0.0311902,0.265922713310911,1.19638945388202,2.72978393403237,4.6936545216449,6.88735002642853,9.16432249446386,11.314519392572,13.4131812309201,15.262804872402,16.7651825011435,18.2498996293321,19.2749961127807,20.2873996706529,21.4433252269971,22.3169216719549,22.581328591267,23.1320806881183,23.6828327849696,22.495771874043,24.0266869482142,25.5576020223854,25.271856536585,24.9861110507847,24.7003655649843,24.4146200791839
"83",83,1,1,1,1,1,0.0311902,0.270862276379869,1.18608199647164,2.72745743064496,4.73244128346318,6.8724362955996,9.18069025548653,11.3562211101775,13.4604341746263,15.2159664643041,16.7687950522231,18.4458033414742,19.3883484290835,20.4555602211645,21.5227720132455,22.4871320251462,22.6719149232175,23.1629423318463,23.0985519958972,23.5719098640442,24.0452677321912,24.5186256003381,24.9919834684851,24.7070395815591,24.0817432284939,24.0817432284939
"86",86,1,1,1,1,1,0.0311902,0.263036073266642,1.19706072470627,2.71463348554481,4.7106781138582,6.93702733449403,9.13680993402193,11.1847053656587,13.4602568720923,15.1905790973722,16.9053520112475,17.9077333172979,19.3195052587363,20.2894126220237,21.4711238883997,22.0467035611674,22.8024927483663,23.5582819355653,24.2486974926459,24.9391130497266,24.8335434645823,24.727973879438,24.6224042942937,24.5168347091494,25.753420372369,26.9900060355887
"89",89,1,1,1,1,1,0.0311902,0.264655680922312,1.19047318466015,2.71619676457874,4.69884710634814,6.96717139763724,9.19955332793362,11.3716938565166,13.5226262837201,15.1533535707175,16.8414520280864,18.0941065454983,19.5076862959382,20.5657103396849,21.7256041484745,21.47054805411,22.0392801883179,23.0481307054349,21.9373362502625,22.3640847137566,22.7908331772507,23.2175816407449,23.644330104239,24.0710785677331,24.4978270312273,25.702954555756
"92",92,1,1,1,1,1,0.0311902,0.270709801393523,1.19789910803329,2.72425409763561,4.70213520069138,6.90269288621722,9.08757955401504,11.2971249382769,13.2753620222875,15.0396940468215,16.6300816180043,18.3144614888634,19.4435516734256,20.458052682352,21.5929400694886,21.7065341649318,22.65228829264,23.6044888303644,24.5566893680889,23.8981270279164,24.7657889744985,26.3386051190712,26.3386051190712,26.3386051190712,26.3386051190712,26.3386051190712
"95",95,1,1,1,1,1,0.0311902,0.273060456390827,1.17894661893274,2.70549855259216,4.67169950794202,6.90779384503221,9.12137240198336,11.3761847227834,13.3935581638576,15.1474051748129,16.6012693117769,18.4081984427374,19.7209113081613,20.5225830924266,21.8733696273121,21.6095336907162,22.8968022611008,23.4818229834004,24.0059763281423,24.1410280342943,24.2760797404463,24.2306307191507,24.1851816978552,24.1851816978552,24.1851816978552,24.1851816978552
"98",98,1,1,1,1,1,0.0311902,0.269559251201912,1.18458982092232,2.73049558989925,4.7277495247581,6.91507663860152,9.21478269923255,11.2348272016,13.4017147174326,15.176221886374,16.5322305652207,18.3386451573243,19.4139069218719,20.3365309159418,21.2591549100117,22.4832978515951,23.0309176925862,23.5298717874942,24.0288258824022,23.7107598283134,24.7108747071412,25.1915100394083,24.1595486647246,24.1595486647246,24.1595486647246,24.1595486647246
