"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","params_stuck_low_em","params_stuck_high_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","species","max_grad","version","RunTime","hessian","ID"
"1",215129000,32.052,580652000,0.323360635974732,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.2495,329061,1.43431e-07,0,-178.211,NA,NA,NA,11547.5,317628,NA,NA,NA,NA,63.206,0,0,0,0,0,209476000,29.8013,566919000,0.36729938492095,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.57606,0.44,0.5,0,0,0,0,0,-0.00433019,0,21.2867,-1,4.08586,15,-999,999,18.2995,-1,4.0765,15,-999,999,33.2495,5239330,5.64217e-09,0,5234560,NA,NA,NA,4779.27,NA,NA,NA,NA,NA,-4.36628,0,0,0.000897054,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",4.67909,"#V3.24O",3.75,FALSE,"D1-F0-G0-X1-yellow-age-1"
"2",215129000,32.052,580652000,0.33927205968463,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,35.1278,329018,1.1899e-07,0,-178.211,NA,NA,NA,11509.2,317632,NA,NA,NA,NA,54.9667,0,0,0,0,0,219323000,30.8966,593956000,0.338764150879863,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.62265,0.44,0.5,0,0,0,0,0,0.0212154,0,21.1676,-1,4.07528,15,-999,999,18.4121,-1,4.10234,15,-999,999,35.1278,5301110,4.86611e-09,0,5296300,NA,NA,NA,4825.26,NA,NA,NA,NA,NA,-12.7926,0,0,0.000894244,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",2,"D1","F0","G0","X1","yellow-age",0.00401732,"#V3.24O",3.9,FALSE,"D1-F0-G0-X1-yellow-age-2"
"3",215129000,32.052,580652000,0.330847047801437,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.8824,329215,9.43225e-08,0,-178.211,NA,NA,NA,11679,317657,NA,NA,NA,NA,57.1369,0,0,0,0,0,220530000,31.4895,593856000,0.341810135790495,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.62249,0.44,0.5,0,0,0,0,0,0.0105375,0,21.3701,-1,4.11098,15,-999,999,18.2973,-1,4.07841,15,-999,999,33.8824,5324850,4.42384e-09,0,5320090,NA,NA,NA,4770.41,NA,NA,NA,NA,NA,-11.8467,0,0,0.000891743,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",3,"D1","F0","G0","X1","yellow-age",0.00410741,"#V3.24O",4.2,FALSE,"D1-F0-G0-X1-yellow-age-3"
"4",215129000,32.052,580652000,0.361748517184131,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.2381,329217,1.14138e-07,0,-178.211,NA,NA,NA,11709.7,317632,NA,NA,NA,NA,53.3458,0,0,0,0,0,223577000,32.2119,602945000,0.383471129207473,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.63767,0.44,0.5,0,0,0,0,0,-0.0317346,0,21.2241,-1,4.08345,15,-999,999,18.3224,-1,4.09316,15,-999,999,37.2381,5323510,4.16122e-09,0,5318780,NA,NA,NA,4745.06,NA,NA,NA,NA,NA,-18.247,0,0,0.000894615,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",4,"D1","F0","G0","X1","yellow-age",1.37246e-05,"#V3.24O",3.98333333333333,FALSE,"D1-F0-G0-X1-yellow-age-4"
"5",215129000,32.052,580652000,0.329329787893609,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.9855,328919,1.15953e-07,0,-178.211,NA,NA,NA,11412.4,317632,NA,NA,NA,NA,53.4033,0,0,0,0,0,224587000,31.9185,603672000,0.338919148146676,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.63888,0.44,0.5,0,0,0,0,0,-0.00991716,0,21.2704,-1,4.09186,15,-999,999,18.272,-1,4.08755,15,-999,999,33.9855,5299580,4.6403e-09,0,5294700,NA,NA,NA,4896.02,NA,NA,NA,NA,NA,-14.6733,0,0,0.000894171,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",5,"D1","F0","G0","X1","yellow-age",2.22656e-06,"#V3.24O",3.86666666666667,FALSE,"D1-F0-G0-X1-yellow-age-5"
"6",215129000,32.052,580652000,0.356816130832237,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,36.8103,328968,9.35868e-08,0,-178.211,NA,NA,NA,11488.6,317614,NA,NA,NA,NA,43.6296,0,0,0,0,0,233205000,33.0122,629226000,0.352075406928512,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.68034,0.44,0.5,0,0,0,0,0,-0.0390874,0,21.0681,-1,4.06821,15,-999,999,18.1092,-1,4.05702,15,-999,999,36.8103,5313280,4.04657e-09,0,5308420,NA,NA,NA,4879.94,NA,NA,NA,NA,NA,-22.9459,0,0,0.000906324,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",6,"D1","F0","G0","X1","yellow-age",2.8434e-05,"#V3.24O",3.9,FALSE,"D1-F0-G0-X1-yellow-age-6"
"7",222859000,0,580652000,0.180953479881237,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,21.5396,353957,24763.3,0,-76.1444,NA,NA,NA,11804.1,317403,NA,NA,NA,NA,63.206,0,0,0,0,0,218420000,0,569087000,0.203227274564346,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.57988,0.44,0.5,0,0,0,0,0,0.00131231,0,21.3837,-1,4.10224,15,-999,999,18.159,-1,4.04964,15,-999,999,21.5396,5221670,8.21587e-09,0,5216850,NA,NA,NA,4818.8,NA,NA,NA,NA,NA,-3.04158,0,0,0.000899482,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",1,"D1","F0","G1","X1","yellow-age",4.18567e-05,"#V3.24O",3.85,FALSE,"D1-F0-G1-X1-yellow-age-1"
"8",223626000,0,580652000,0.188739554845243,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,22.5137,354448,25364.4,0,-73.7221,NA,NA,NA,11695.6,317406,NA,NA,NA,NA,54.9667,0,0,0,0,0,228325000,0,592852000,0.189055615904138,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.62079,0.44,0.5,0,0,0,0,0,0.0206927,0,21.2671,-1,4.08769,15,-999,999,18.3913,-1,4.09983,15,-999,999,22.5137,5281410,7.7548e-09,0,5276620,NA,NA,NA,4803.35,NA,NA,NA,NA,NA,-13.3683,0,0,0.000892019,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",2,"D1","F0","G1","X1","yellow-age",8.77147e-05,"#V3.24O",3.81666666666667,FALSE,"D1-F0-G1-X1-yellow-age-2"
"9",222900000,0,580652000,0.184718213318821,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,21.8839,354479,25181.3,0,-74.9883,NA,NA,NA,11884.2,317431,NA,NA,NA,NA,57.1369,0,0,0,0,0,226310000,0,589536000,0.18932177169842,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.61518,0.44,0.5,0,0,0,0,0,0.0274159,0,21.4041,-1,4.11499,15,-999,999,18.3848,-1,4.08521,15,-999,999,21.8839,5305230,7.30567e-09,0,5300430,NA,NA,NA,4806.34,NA,NA,NA,NA,NA,-8.38533,0,0,0.000889123,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",3,"D1","F0","G1","X1","yellow-age",0.000142134,"#V3.24O",3.88333333333333,FALSE,"D1-F0-G1-X1-yellow-age-3"
"10",223051000,0,580652000,0.201278907159538,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,23.9672,354643,25325.8,0,-74.0803,NA,NA,NA,11930.9,317407,NA,NA,NA,NA,53.3458,0,0,0,0,0,234786000,0,611201000,0.205289258361815,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.65127,0.44,0.5,0,0,0,0,0,-0.0208923,0,21.0905,-1,4.0686,15,-999,999,18.2906,-1,4.08765,15,-999,999,23.9672,5302570,6.36584e-09,0,5297830,NA,NA,NA,4755.26,NA,NA,NA,NA,NA,-15.5617,0,0,0.000899274,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",4,"D1","F0","G1","X1","yellow-age",0.00288665,"#V3.24O",3.93333333333333,FALSE,"D1-F0-G1-X1-yellow-age-4"
"11",223097000,0,580652000,0.184597659183125,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,21.981,353810,24774.9,0,-76.4354,NA,NA,NA,11651.8,317407,NA,NA,NA,NA,53.4033,0,0,0,0,0,233966000,0,608941000,0.185816031438185,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64757,0.44,0.5,0,0,0,0,0,0.00358726,0,21.2054,-1,4.0803,15,-999,999,18.4131,-1,4.09559,15,-999,999,21.981,5281720,7.28995e-09,0,5276860,NA,NA,NA,4878.92,NA,NA,NA,NA,NA,-15.2859,0,0,0.000894348,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",5,"D1","F0","G1","X1","yellow-age",0.00499912,"#V3.24O",3.91666666666667,FALSE,"D1-F0-G1-X1-yellow-age-5"
"12",223146000,0,580652000,0.198941879128979,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,23.7019,354341,25272.2,0,-74.2006,NA,NA,NA,11710.2,317388,NA,NA,NA,NA,43.6296,0,0,0,0,0,238429000,0,620419000,0.196547816878593,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.66624,0.44,0.5,0,0,0,0,0,-0.0186439,0,21.2022,-1,4.08722,15,-999,999,18.3586,-1,4.09177,15,-999,999,23.7019,5293830,6.48705e-09,0,5289090,NA,NA,NA,4761.67,NA,NA,NA,NA,NA,-22.0123,0,0,0.000894086,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",6,"D1","F0","G1","X1","yellow-age",5.39413e-05,"#V3.24O",3.8,FALSE,"D1-F0-G1-X1-yellow-age-6"
"13",1345900,409881,5007440,0.14606825044334,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,133548,153618,3.90644e-07,0,1.49764e-10,NA,NA,NA,6079.37,147445,NA,NA,NA,NA,93.0723,0,0,0,0,0,962211,290483,3568690,0.207999854288268,0,NA,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.6613,0.82,1.4,0,0,0,0,0,-0.00435465,0,4.33393,-1,1.10095,15,-999,999,3.7225,-1,1.06554,15,-999,999,133548,9391210,3.99316e-12,0,9389910,NA,NA,NA,1228.13,NA,NA,NA,NA,NA,74.3828,0,0,0.000893063,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",1,"D1","F0","G0","X1","hake-age",0.0404553,"#V3.24O",1.23333333333333,FALSE,"D1-F0-G0-X1-hake-age-1"
"14",1345900,409881,5007440,0.275166552170371,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,233695,153473,6.1431e-07,0,1.97292e-10,NA,NA,NA,5886.36,147509,NA,NA,NA,NA,77.0287,0,0,0,0,0,1222730,365334,4564780,0.307712529409961,0,NA,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.9074,0.82,1.4,0,0,0,0,0,0.00388279,0,4.32963,-1,1.08898,15,-999,999,3.7407,-1,1.07683,15,-999,999,233695,9458790,4.65675e-12,0,9457480,NA,NA,NA,1225.54,NA,NA,NA,NA,NA,78.4161,0,0,0.000893004,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",2,"D1","F0","G0","X1","hake-age",0.00335449,"#V3.24O",0.966666666666667,FALSE,"D1-F0-G0-X1-hake-age-2"
"15",1345900,409881,5007440,0.152746712891218,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,139315,153829,7.89645e-07,0,1.09678e-10,NA,NA,NA,6013.49,147735,NA,NA,NA,NA,80.0354,0,0,0,0,0,4273030,1289330,15979500,0.269667386338747,0,NA,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.1604,0.82,1.4,0,0,0,0,0,1.23517,0,4.32984,-1,1.10001,15,-999,999,3.72001,-1,1.06,15,-999,999,139315,9519850,2.46355e-06,0,9447390,NA,NA,NA,72424.4,NA,NA,NA,NA,NA,33.5872,0,0,0.000897785,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",3,"D1","F0","G0","X1","hake-age",29039900,"#V3.24O",0.316666666666667,FALSE,"D1-F0-G0-X1-hake-age-3"
"16",1345900,409881,5007440,0.129570598948764,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,136310,153110,7.54748e-07,0,1.8545e-10,NA,NA,NA,5681.28,147353,NA,NA,NA,NA,75.6709,0,0,0,0,0,5505520,1659580,20842400,0.237230357348482,0,NA,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,16.4261,0.82,1.4,0,0,0,0,0,1.19029,0,4.32652,-1,1.10069,15,-999,999,3.7218,-1,1.05945,15,-999,999,136310,9472580,3.04821e-05,0,9397960,NA,NA,NA,74585,NA,NA,NA,NA,NA,33.9743,0,0,0.000897744,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",4,"D1","F0","G0","X1","hake-age",10308800000,"#V3.24O",0.283333333333333,FALSE,"D1-F0-G0-X1-hake-age-4"
"17",1345900,409881,5007440,0.895255859281389,0,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,1,15,0.82,1.4,0,0,0,0,0,0,0,4.33,-1,1.1,15,-999,999,3.72,-1,1.06,15,-999,999,809249,153707,5.60643e-07,0,1.49402e-10,NA,NA,NA,6207.15,147425,NA,NA,NA,NA,74.9691,0,0,0,0,0,1232340,368949,4676770,0.986728019551956,0,NA,NA,0.22,5,55,0.4,0.1,0.1,7e-06,2.95,2.835,-2.208,1,0,1,1,1,1,14.9317,0.82,1.4,0,0,0,0,0,-0.0132833,0,4.32699,-1,1.09758,15,-999,999,3.68673,-1,1.03325,15,-999,999,809249,9620780,3.76592e-12,0,9619410,NA,NA,NA,1299.07,NA,NA,NA,NA,NA,73.9675,0,0,0.00091987,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-hake-age",5,"D1","F0","G0","X1","hake-age",0.0279422,"#V3.24O",1.15,FALSE,"D1-F0-G0-X1-hake-age-5"
